user_name,message,refinado,nLabel,neg_scores,neu_scores,pos_scores,compound_scores,NOUN,PRON,VERB,ADJ,ADV
susanha77835097,@blossomingabyss @JoeBiden He filled his pocketskids familyharris is unqualified also All the Dems are in the pocke… https://t.co/xe1yMsYWfP,"['filled', 'pocketskids', 'familyharris', 'unqualified', 'also', 'dems']",1,0.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,1.0
tomborelli,Supporting @JoeBiden means packing the Supreme Court w liberals &amp; nuking the legislative filibuster. Only Republica… https://t.co/A2dgfcgUFk,"['supporting', 'means', 'packing', 'supreme', 'court', 'liberals', 'amp', 'nuking', 'legislative', 'filibuster']",1,0.0,0.552,0.448,0.7579,3.0,0.0,2.0,1.0,1.0
John_Di_Lemme,"@ABC13News @realDonaldTrump @JoeBiden Nancy Pelosi IS Nuts!  Joe Biden and Kamala Harris are Socialists!....
https://t.co/tdUfJJJyOI.","['nancy', 'pelosi', 'nuts', 'joe', 'biden', 'kamala', 'harris', 'socialists']",0,0.247,0.753,0.0,-0.3182,3.0,0.0,1.0,1.0,0.0
Parnell_100,@JoeBiden There is NO STOPPING this AMERICAN TRINITY TRAIN - BIDEN / HARRIS / THE PEOPLE .... So people get on BOAR… https://t.co/cpOzYjEaos,"['stopping', 'american', 'trinity', 'train', 'biden', 'harris', 'people', 'people', 'get']",0,0.167,0.833,0.0,-0.1531,3.0,0.0,2.0,0.0,0.0
sqlblues,@FenrirWolf26 @Stanhope2011VJ Britons have also been pumped a relentless diet of negative press about Donald Trump… https://t.co/RNiEWdERR0,"['britons', 'also', 'pumped', 'relentless', 'diet', 'negative', 'press', 'donald']",-1,0.339,0.55,0.11,-0.5423,3.0,0.0,2.0,1.0,1.0
_walkforACure,"US presidential debate officially cancelled

https://t.co/GbuTZQgYja

Sent via @updayUK","['presidential', 'debate', 'officially', 'cancelled', 'sent', 'via']",0,0.286,0.714,0.0,-0.25,2.0,1.0,1.0,1.0,1.0
newollien,"@blossomingabyss @JoeBiden Oh behave, you tit. tRump’s only tactic on the tv debate was to drown Biden out so no-on… https://t.co/VigRfMYXHi","['behave', 'tit', 'trump', 'tactic', 'debate', 'drown', 'biden']",0,0.381,0.619,0.0,-0.5719,2.0,1.0,4.0,1.0,1.0
AIPCMaha,"Joe Biden is surging in the battle for the White House with less than four weeks to go until Election Day.

https://t.co/Np26ZomGkx","['joe', 'biden', 'surging', 'battle', 'white', 'house', 'less', 'four', 'weeks', 'election', 'day']",-1,0.206,0.794,0.0,-0.3818,3.0,0.0,3.0,1.0,0.0
RonnieMro,We know exactly what we’re getting with Donald Trump. Have no clue what Harris-Biden stands for. At least not latel… https://t.co/xIgmDGSVhD,"['know', 'exactly', 'getting', 'donald', 'trump', 'clue', 'stands', 'least']",-1,0.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0
cyn507,Looks like @realDonaldTrump is running scared. His bag of tricks doesn't include any plans for fixing what he's sin… https://t.co/zjVt88x7el,"['looks', 'like', 'running', 'scared', 'bag', 'tricks', 'include', 'plans', 'fixing']",0,0.341,0.465,0.194,-0.2263,2.0,2.0,4.0,0.0,0.0
AlanDonn,I would vote for the right Republican. Not in its current form. I could never vote for someone involved in Trumpism… https://t.co/QXBekcLXUs,"['would', 'vote', 'right', 'republican', 'current', 'form', 'could', 'never', 'vote', 'someone', 'involved']",1,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
JoerGolfmiester,@TheLeoTerrell @JoeBiden @SenKamalaHarris #SleepyJoeBiden can't remember the last time he wiped his butt. I wouldn'… https://t.co/vAZvcP8I2X,"['sleepyjoebiden', 'remember', 'last', 'time', 'wiped', 'butt']",0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0
MurderhornetUS,@CoveringBiden @JoeBiden I can count to potato and I like the smell of toddlers hair - joe biden,"['count', 'potato', 'like', 'smell', 'toddlers', 'hair', 'joe', 'biden']",0,0.0,0.737,0.263,0.3612,2.0,1.0,2.0,1.0,0.0
colllleeen,"I'll be honest... I don't understand the framing of ""a vote for Kanye/Independent is a vote for Donald Trump"". It's… https://t.co/uEJKxsXeOx","['honest', 'understand', 'framing', 'vote', 'vote', 'donald', 'trump']",1,0.0,0.645,0.355,0.5106,2.0,1.0,4.0,1.0,0.0
hax0rm0m,"@SheriHerman10 @Cirincione @JoeBiden @MSNBC What channel were you watching, FOX? Maybe watch a debate with a real m… https://t.co/LMZS1gtGEM","['channel', 'watching', 'fox', 'maybe', 'watch', 'debate', 'real']",1,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0
