date,user_name,user_loc,message,full_name,country,country_code,geo_code,longitud_mensaje,palabras,refinado,latitud,longitud,states,Polaridad,Subjetividad,Label
2020-10-10 11:41:36,susanha77835097,"Florida, USA",@blossomingabyss @JoeBiden He filled his pocketskids familyharris is unqualified also All the Dems are in the pocke… https://t.co/xe1yMsYWfP,"Sunny Isles Beach, FL",United States,US,[-80.125071  25.92906 ],140,18,"['filled', 'pocketskids', 'familyharris', 'unqualified', 'also', 'dems']",-80.125071,25.92906,FL,0.4,0.9,Positiva
2020-10-10 11:19:05,tomborelli,"Greenwich, CT",Supporting @JoeBiden means packing the Supreme Court w liberals &amp; nuking the legislative filibuster. Only Republica… https://t.co/A2dgfcgUFk,"Greenwich, CT",United States,US,[-73.63941   41.050217],144,17,"['supporting', 'means', 'packing', 'supreme', 'court', 'liberals', 'amp', 'nuking', 'legislative', 'filibuster']",-73.63941,41.050217,CT,0.25,0.25,Positiva
2020-10-10 09:39:10,John_Di_Lemme,(561) 847-3467,"@ABC13News @realDonaldTrump @JoeBiden Nancy Pelosi IS Nuts!  Joe Biden and Kamala Harris are Socialists!....
https://t.co/tdUfJJJyOI.","West Palm Beach, FL",United States,US,[-80.12262   26.721896],133,15,"['nancy', 'pelosi', 'nuts', 'joe', 'biden', 'kamala', 'harris', 'socialists']",-80.12262,26.721896,FL,0.0,0.0,Neutral
2020-10-10 08:39:14,Parnell_100,United Kingdom,@JoeBiden There is NO STOPPING this AMERICAN TRINITY TRAIN - BIDEN / HARRIS / THE PEOPLE .... So people get on BOAR… https://t.co/cpOzYjEaos,"Belfast, Northern Ireland",United Kingdom,GB,[-5.928413 54.595869],140,23,"['stopping', 'american', 'trinity', 'train', 'biden', 'harris', 'people', 'people', 'get']",-5.928413,54.595869,Non_USA,0.0,0.0,Neutral
2020-10-10 07:18:33,sqlblues,"Weston-super-Mare, England",@FenrirWolf26 @Stanhope2011VJ Britons have also been pumped a relentless diet of negative press about Donald Trump… https://t.co/RNiEWdERR0,"Weston-super-Mare, England",United Kingdom,GB,[-2.94513  51.346796],139,17,"['britons', 'also', 'pumped', 'relentless', 'diet', 'negative', 'press', 'donald']",-2.94513,51.346796,Non_USA,-0.3,0.4,Negativa
2020-10-10 06:56:05,_walkforACure,United Kingdom,"US presidential debate officially cancelled

https://t.co/GbuTZQgYja

Sent via @updayUK","East Midlands, England",United Kingdom,GB,[-0.838055 52.796791],87,9,"['presidential', 'debate', 'officially', 'cancelled', 'sent', 'via']",-0.838055,52.796791,Non_USA,0.0,0.0,Neutral
2020-10-10 06:14:37,newollien,Wales ,"@blossomingabyss @JoeBiden Oh behave, you tit. tRump’s only tactic on the tv debate was to drown Biden out so no-on… https://t.co/VigRfMYXHi","Bridgend, Wales",United Kingdom,GB,[-3.58689  51.508115],140,21,"['behave', 'tit', 'trump', 'tactic', 'debate', 'drown', 'biden']",-3.58689,51.508115,Non_USA,0.0,0.0,Neutral
2020-10-10 05:57:54,AIPCMaha,"Mumbai, Maharashtra India","Joe Biden is surging in the battle for the White House with less than four weeks to go until Election Day.

https://t.co/Np26ZomGkx","Mumbai, India",India,IN,[72.874244 19.17414 ],131,22,"['joe', 'biden', 'surging', 'battle', 'white', 'house', 'less', 'four', 'weeks', 'election', 'day']",72.874244,19.17414,Non_USA,-0.08333333333333333,0.03333333333333333,Negativa
2020-10-10 05:56:19,RonnieMro,"Battle Creek, MI",We know exactly what we’re getting with Donald Trump. Have no clue what Harris-Biden stands for. At least not latel… https://t.co/xIgmDGSVhD,"Battle Creek, MI",United States,US,[-85.226924  42.308297],140,21,"['know', 'exactly', 'getting', 'donald', 'trump', 'clue', 'stands', 'least']",-85.226924,42.308297,MI,-0.024999999999999994,0.325,Negativa
2020-10-10 05:19:12,cyn507,"Philadelphia, PA",Looks like @realDonaldTrump is running scared. His bag of tricks doesn't include any plans for fixing what he's sin… https://t.co/zjVt88x7el,"Philadelphia, PA",United States,US,[-75.117998  40.004866],140,20,"['looks', 'like', 'running', 'scared', 'bag', 'tricks', 'include', 'plans', 'fixing']",-75.117998,40.004866,PA,0.0,0.0,Neutral
